STT,Voi,Ma The,Bien So Xe,Ngay,Gio,Tien,Lit,Gia,Tong Tien,Tong Lit,Tien Nop,So Du, Ma Giao Dich
51,99,5FCF32E7,51C17164 ,20220301,191601,6526832,313790,20800,306066060,19122645,0,-306066060,18361
52,99,5FCF32E7,51C17164 ,20220309,110910,7369850,345840,21310,313435910,19468485,0,-313435910,2238
53,99,5FCF32E7,51C17164 ,20220318,154925,7619047,301625,25260,321054957,19770110,0,-321054957,22839
54,99,5FCF32E7,51C17164 ,20220323,134945,7150556,302605,23630,328205513,20072715,0,-328205513,20892
55,99,5FCF32E7,51C17164 ,20220329,135004,3939948,166735,23630,332145461,20239450,0,-332145461,29987
56,99,5FCF32E7,51C17164 ,20220331,184737,7774742,329020,23630,339920203,20568470,0,-339920203,13783
57,99,5FCF32E7,51C17164 ,20220407,131640,7600243,303040,25080,347520446,20871510,0,-347520446,4270
58,99,5FCF32E7,51C17164 ,20220413,72618,8014193,328720,24380,355534639,21200230,0,-355534639,25346
59,99,5FCF32E7,51C17164 ,20220417,80243,8090137,331835,24380,363624776,21532065,0,-363624776,18580
60,99,5FCF32E7,51C17164 ,20220422,51114,7960153,314010,25350,371584929,21846075,0,-371584929,30500
61,99,5FCF32E7,51C17164 ,20220427,163556,6002119,236770,25350,377587048,22082845,0,-377587048,29241
62,99,5FCF32E7,51C17164 ,20220503,52723,9070990,357830,25350,386658038,22440675,0,-386658038,28356
63,99,5FCF32E7,51C17164 ,20220509,122140,5435464,212905,25530,392093502,22653580,0,-392093502,12391
64,99,5FCF32E7,51C17164 ,20220513,65951,8199405,307670,26650,400292907,22961250,0,-400292907,25716
65,99,5FCF32E7,51C17164 ,20220518,183314,4023350,150970,26650,404316257,23112220,0,-404316257,15393
66,99,5FCF32E7,51C17164 ,20220521,102256,7783532,292065,26650,412099789,23404285,0,-412099789,3135
67,99,5FCF32E7,51C17164 ,20220525,150653,7541082,295150,25550,419640871,23699435,0,-419640871,30257
68,99,5FCF32E7,51C17164 ,20220525,180353,7505750,300230,25000,427146621,23999665,0,-427146621,17978
69,99,5FCF32E7,51C17164 ,20220525,201532,7300750,292030,25000,434447371,24291695,0,-434447371,1798
70,99,5FCF32E7,51C17164 ,20220525,201555,3333125,133325,25000,437780496,24425020,0,-437780496,12702
71,99,5FCF32E7,51C17164 ,20220615,150159,7118750,284750,25000,444899246,24709770,0,-444899246,23765
72,99,5FCF32E7,51C17164 ,20220620,132933,7000875,280035,25000,451900121,24989805,0,-451900121,27320
73,99,5FCF32E7,51C17164 ,20220627,71915,5003250,200130,25000,456903371,25189935,0,-456903371,30241
74,99,5FCF32E7,51C17164 ,20220630,124133,2023000,80920,25000,458926371,25270855,0,-458926371,13712
75,99,5FCF32E7,51C17164 ,20220701,5654,7076750,283070,25000,466003121,25553925,0,-466003121,27786
76,99,5FCF32E7,51C17164 ,20220707,211345,8880625,355225,25000,474883746,25909150,0,-474883746,16281
77,99,5FCF32E7,51C17164 ,20220715,84639,8679250,347170,25000,483562996,26256320,0,-483562996,20557
78,99,5FCF32E7,51C17164 ,20220721,105414,9000250,360010,25000,492563246,26616330,0,-492563246,4328
79,99,5FCF32E7,51C17164 ,20220802,73443,6504500,260180,25000,499067746,26876510,0,-499067746,26015
80,99,5FCF32E7,51C17164 ,20220810,170716,8251375,330055,25000,507319121,27206565,0,-507319121,31365
